timestamp_unix,timestamp_iso,participant_full_id,wearing_detection_percentage,missing_value_reason
1733388360000,2024-12-05T08:46:00Z,1573-1-1-00002,,device_not_recording
1733388420000,2024-12-05T08:47:00Z,1573-1-1-00002,,device_not_recording
1733388480000,2024-12-05T08:48:00Z,1573-1-1-00002,,device_not_recording
1733388540000,2024-12-05T08:49:00Z,1573-1-1-00002,,device_not_recording
1733388600000,2024-12-05T08:50:00Z,1573-1-1-00002,,device_not_recording
1733388660000,2024-12-05T08:51:00Z,1573-1-1-00002,,device_not_recording
1733388720000,2024-12-05T08:52:00Z,1573-1-1-00002,,device_not_recording
1733388780000,2024-12-05T08:53:00Z,1573-1-1-00002,,device_not_recording
1733388840000,2024-12-05T08:54:00Z,1573-1-1-00002,,device_not_recording
1733388900000,2024-12-05T08:55:00Z,1573-1-1-00002,,device_not_recording
1733388960000,2024-12-05T08:56:00Z,1573-1-1-00002,,device_not_recording
1733389020000,2024-12-05T08:57:00Z,1573-1-1-00002,,device_not_recording
1733389080000,2024-12-05T08:58:00Z,1573-1-1-00002,,device_not_recording
1733389140000,2024-12-05T08:59:00Z,1573-1-1-00002,,device_not_recording
1733389200000,2024-12-05T09:00:00Z,1573-1-1-00002,,device_not_recording
1733389260000,2024-12-05T09:01:00Z,1573-1-1-00002,,device_not_recording
1733389320000,2024-12-05T09:02:00Z,1573-1-1-00002,,device_not_recording
1733389380000,2024-12-05T09:03:00Z,1573-1-1-00002,,device_not_recording
1733389440000,2024-12-05T09:04:00Z,1573-1-1-00002,,device_not_recording
1733389500000,2024-12-05T09:05:00Z,1573-1-1-00002,,device_not_recording
1733389560000,2024-12-05T09:06:00Z,1573-1-1-00002,,device_not_recording
1733389620000,2024-12-05T09:07:00Z,1573-1-1-00002,,device_not_recording
1733389680000,2024-12-05T09:08:00Z,1573-1-1-00002,,device_not_recording
1733389740000,2024-12-05T09:09:00Z,1573-1-1-00002,,device_not_recording
1733389800000,2024-12-05T09:10:00Z,1573-1-1-00002,,device_not_recording
1733389860000,2024-12-05T09:11:00Z,1573-1-1-00002,,device_not_recording
1733389920000,2024-12-05T09:12:00Z,1573-1-1-00002,,device_not_recording
1733389980000,2024-12-05T09:13:00Z,1573-1-1-00002,,device_not_recording
1733390040000,2024-12-05T09:14:00Z,1573-1-1-00002,,device_not_recording
1733390100000,2024-12-05T09:15:00Z,1573-1-1-00002,,device_not_recording
1733390160000,2024-12-05T09:16:00Z,1573-1-1-00002,,device_not_recording
1733390220000,2024-12-05T09:17:00Z,1573-1-1-00002,,device_not_recording
1733390280000,2024-12-05T09:18:00Z,1573-1-1-00002,,device_not_recording
1733390340000,2024-12-05T09:19:00Z,1573-1-1-00002,,device_not_recording
1733390400000,2024-12-05T09:20:00Z,1573-1-1-00002,,device_not_recording
1733390460000,2024-12-05T09:21:00Z,1573-1-1-00002,,device_not_recording
1733390520000,2024-12-05T09:22:00Z,1573-1-1-00002,,device_not_recording
1733390580000,2024-12-05T09:23:00Z,1573-1-1-00002,,device_not_recording
1733390640000,2024-12-05T09:24:00Z,1573-1-1-00002,,device_not_recording
1733390700000,2024-12-05T09:25:00Z,1573-1-1-00002,,device_not_recording
1733390760000,2024-12-05T09:26:00Z,1573-1-1-00002,,device_not_recording
1733390820000,2024-12-05T09:27:00Z,1573-1-1-00002,,device_not_recording
1733390880000,2024-12-05T09:28:00Z,1573-1-1-00002,,device_not_recording
1733390940000,2024-12-05T09:29:00Z,1573-1-1-00002,,device_not_recording
1733391000000,2024-12-05T09:30:00Z,1573-1-1-00002,,device_not_recording
1733391060000,2024-12-05T09:31:00Z,1573-1-1-00002,,device_not_recording
1733391120000,2024-12-05T09:32:00Z,1573-1-1-00002,,device_not_recording
1733391180000,2024-12-05T09:33:00Z,1573-1-1-00002,,device_not_recording
1733391240000,2024-12-05T09:34:00Z,1573-1-1-00002,,device_not_recording
1733391300000,2024-12-05T09:35:00Z,1573-1-1-00002,,device_not_recording
1733391360000,2024-12-05T09:36:00Z,1573-1-1-00002,,device_not_recording
1733391420000,2024-12-05T09:37:00Z,1573-1-1-00002,,device_not_recording
1733391480000,2024-12-05T09:38:00Z,1573-1-1-00002,,device_not_recording
1733391540000,2024-12-05T09:39:00Z,1573-1-1-00002,,device_not_recording
1733391600000,2024-12-05T09:40:00Z,1573-1-1-00002,,device_not_recording
1733391660000,2024-12-05T09:41:00Z,1573-1-1-00002,,device_not_recording
1733391720000,2024-12-05T09:42:00Z,1573-1-1-00002,,device_not_recording
1733391780000,2024-12-05T09:43:00Z,1573-1-1-00002,,device_not_recording
1733391840000,2024-12-05T09:44:00Z,1573-1-1-00002,,device_not_recording
1733391900000,2024-12-05T09:45:00Z,1573-1-1-00002,,device_not_recording
1733391960000,2024-12-05T09:46:00Z,1573-1-1-00002,,device_not_recording
1733392020000,2024-12-05T09:47:00Z,1573-1-1-00002,,device_not_recording
1733392080000,2024-12-05T09:48:00Z,1573-1-1-00002,,device_not_recording
1733392140000,2024-12-05T09:49:00Z,1573-1-1-00002,,device_not_recording
