timestamp_unix,timestamp_iso,participant_full_id,eda_scl_usiemens,missing_value_reason
1749473820000,2025-06-09T12:57:00Z,1573-1-1-002,,device_not_recording
1749473880000,2025-06-09T12:58:00Z,1573-1-1-002,,device_not_recording
1749473940000,2025-06-09T12:59:00Z,1573-1-1-002,,device_not_recording
1749474000000,2025-06-09T13:00:00Z,1573-1-1-002,,device_not_recording
1749474060000,2025-06-09T13:01:00Z,1573-1-1-002,,device_not_recording
1749474120000,2025-06-09T13:02:00Z,1573-1-1-002,,device_not_recording
1749474180000,2025-06-09T13:03:00Z,1573-1-1-002,,device_not_recording
1749474240000,2025-06-09T13:04:00Z,1573-1-1-002,,device_not_recording
1749474300000,2025-06-09T13:05:00Z,1573-1-1-002,,device_not_recording
1749474360000,2025-06-09T13:06:00Z,1573-1-1-002,,device_not_recording
1749474420000,2025-06-09T13:07:00Z,1573-1-1-002,,device_not_recording
1749474480000,2025-06-09T13:08:00Z,1573-1-1-002,,device_not_recording
1749474540000,2025-06-09T13:09:00Z,1573-1-1-002,,device_not_recording
1749474600000,2025-06-09T13:10:00Z,1573-1-1-002,,device_not_recording
1749474660000,2025-06-09T13:11:00Z,1573-1-1-002,,device_not_recording
1749474720000,2025-06-09T13:12:00Z,1573-1-1-002,,device_not_recording
1749474780000,2025-06-09T13:13:00Z,1573-1-1-002,,device_not_recording
1749474840000,2025-06-09T13:14:00Z,1573-1-1-002,,device_not_recording
1749474900000,2025-06-09T13:15:00Z,1573-1-1-002,,device_not_recording
1749474960000,2025-06-09T13:16:00Z,1573-1-1-002,,device_not_recording
1749475020000,2025-06-09T13:17:00Z,1573-1-1-002,,device_not_recording
1749475080000,2025-06-09T13:18:00Z,1573-1-1-002,,device_not_recording
1749475140000,2025-06-09T13:19:00Z,1573-1-1-002,,device_not_recording
1749475200000,2025-06-09T13:20:00Z,1573-1-1-002,,device_not_recording
1749475260000,2025-06-09T13:21:00Z,1573-1-1-002,,device_not_recording
1749475320000,2025-06-09T13:22:00Z,1573-1-1-002,,device_not_recording
1749475380000,2025-06-09T13:23:00Z,1573-1-1-002,,device_not_recording
