+id_participant,task_type,numero_sequence,time_beginning,midi_file
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,13,1720708524.0751548,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero13.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,11,1721813802.1051738,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero11.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,12,1721813829.2181191,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero12.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,19,1721813872.1463225,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero19.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,3,1721813896.718674,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero3.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,13,1721813954.3997054,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero13.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,10,1721813969.4062567,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero10.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,7,1721813995.5522223,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero7.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,5,1721814016.9009964,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero5.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,24,1721814031.5342128,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero24.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,6,1721814049.9613123,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero6.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,4,1721814066.6296892,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero4.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,15,1721814083.6468742,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero15.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,21,1721814103.340458,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero21.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,23,1721814124.943013,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero23.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,17,1721814145.1319675,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero17.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,14,1721814166.3147757,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero14.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,8,1721814184.9995492,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero8.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,2,1721814203.746871,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero2.mid
+1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,18,1721814225.05339,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero18.mid
