id_participant,sequence_number,task_type,max_phasic,nb_scr_peaks,std_raw,complexity
1573-1-1-056,16,Reproduction,0.0513573136274382,5,0.0242289668339263,
1573-1-1-056,17,Perception,0.8271143630372695,1,0.2086696031948978,
1573-1-1-056,17,Reproduction,0.2265332219779824,4,0.2358001939550467,
1573-1-1-056,18,Perception,0.2611699752935391,4,0.2686569893502175,
1573-1-1-056,18,Reproduction,0.6089919181402016,3,0.4688948968388733,
1573-1-1-056,19,Perception,0.312103562143016,5,0.1862041471423831,
1573-1-1-056,19,Reproduction,0.8352605998469461,5,0.9195841170232376,
1573-1-1-056,20,Perception,0.122341335633539,3,0.2645963007394816,
1573-1-1-056,20,Reproduction,0.5822981594542663,6,0.6625101294313009,
1573-1-1-056,21,Perception,0.2119076059237536,3,0.2654926213443975,
1573-1-1-056,21,Reproduction,1.1140658185465722,1,1.084657691018149,
1573-1-1-056,22,Perception,0.2500807871233566,3,0.2719927320655092,
1573-1-1-056,22,Reproduction,0.9826598294689176,2,1.137107317852882,
1573-1-1-056,23,Perception,1.1820278363229706,1,1.3548743979914126,
1573-1-1-056,23,Reproduction,0.0670889697374443,3,0.0652959169952666,
1573-1-1-056,24,Perception,0.0659571285203962,5,0.0550091611695154,
1573-1-1-056,24,Reproduction,0.3033280365757709,1,0.1355320354280919,
1573-1-1-056,25,Perception,0.4520770231818163,3,0.5242394371902334,
1573-1-1-056,25,Reproduction,0.4313977125044009,4,0.5686932473636512,
1573-1-1-056,26,Perception,0.050183836533192,7,0.095988372685044,
1573-1-1-056,26,Reproduction,0.0482323849266153,4,0.0243210277613631,
1573-1-1-13,1,Perception,0.001885781699663,16,0.0008980344366733,
1573-1-1-13,1,Reproduction,0.0010009003903369,15,0.0018217018573478,
1573-1-1-13,2,Perception,0.0018499155369919,13,0.0007628524218735,
1573-1-1-13,2,Reproduction,0.002530850467366,15,0.0020618974617233,
1573-1-1-13,3,Perception,0.0016573952947189,12,0.0008562312685564,
1573-1-1-13,3,Reproduction,0.0053578218367469,11,0.0019120423990598,
1573-1-1-13,4,Perception,0.0017144414423876,10,0.0011288881109047,
1573-1-1-13,4,Reproduction,0.0110680186831093,6,0.0024584634539044,
1573-1-1-13,5,Perception,0.0020579414216512,13,0.0009747236265465,
1573-1-1-13,5,Reproduction,0.0022032547070495,11,0.0008239261131921,
1573-1-1-13,6,Perception,0.001981092850059,11,0.0009546195415639,
1573-1-1-13,6,Reproduction,0.0028901099620861,7,0.0011873769178867,
1573-1-1-13,7,Perception,0.0043840082505025,11,0.0013669930865828,
1573-1-1-13,7,Reproduction,0.0019151496227495,14,0.000890719835928,
1573-1-1-13,8,Perception,0.0032535677212505,13,0.0009446564103173,
1573-1-1-13,8,Reproduction,0.0023157717093969,12,0.0017485621571119,
1573-1-1-13,9,Perception,0.0030548942301496,15,0.001097920677209,
1573-1-1-13,9,Reproduction,0.003300058863484,15,0.0016380616791851,
1573-1-1-13,10,Perception,0.0015942079920327,14,0.0007817547551438,
1573-1-1-13,10,Reproduction,0.0052235839458067,10,0.0016608523499888,
1573-1-1-13,11,Perception,0.0034038556616814,11,0.0011878111626115,
1573-1-1-13,11,Reproduction,0.014457937998928,6,0.0040096951146201,
1573-1-1-13,12,Perception,0.0022588823014603,14,0.0009866986766301,
1573-1-1-13,12,Reproduction,0.001387439422887,12,0.0017091619136839,
1573-1-1-13,13,Perception,0.0024948957147632,13,0.0009583591107644,
1573-1-1-13,13,Reproduction,0.0028225708176627,11,0.0009906599754203,
1573-1-1-13,14,Perception,0.0014207011097238,13,0.0018039706473124,
1573-1-1-13,14,Reproduction,0.0051194288843661,13,0.0033805491116527,
1573-1-1-13,15,Perception,0.0019211814365812,14,0.0007741132980049,
1573-1-1-13,15,Reproduction,0.0018064119515318,12,0.0011301317653009,
1573-1-1-13,16,Perception,0.0012430984744684,15,0.0008175506482654,
1573-1-1-13,16,Reproduction,0.0017065743696454,12,0.0008528732596242,
1573-1-1-13,17,Perception,0.0060228431673514,9,0.001183426182428,
1573-1-1-13,17,Reproduction,0.0023506063489769,16,0.001071920868705,
1573-1-1-13,18,Perception,0.0031608933191977,12,0.0011840412826064,
1573-1-1-13,18,Reproduction,0.0987380067143176,1,0.0234243132704251,
1573-1-1-13,19,Perception,0.0032391850033829,12,0.0009916266003248,
1573-1-1-13,19,Reproduction,0.0031987471146773,10,0.0014070244138973,
