id_participant,task_type,numero_sequence,time_beginning,time_ending
1573-1-1-002,Perception,4,1749493440.111996,1749493453.668352
1573-1-1-002,Perception,6,1749493467.0407753,1749493480.5971313
1573-1-1-002,Perception,2,1749493487.5816214,1749493501.1379774
1573-1-1-002,Perception,20,1749493504.3962936,1749493517.9526496
1573-1-1-002,Perception,15,1749493526.4397192,1749493539.9960752
1573-1-1-002,Perception,8,1749493544.7067287,1749493558.263085
1573-1-1-002,Perception,3,1749493574.1876805,1749493587.7440364
1573-1-1-002,Perception,12,1749493597.57993,1749493611.136286
1573-1-1-002,Perception,16,1749493614.999617,1749493628.555973
1573-1-1-002,Perception,17,1749493637.3537378,1749493650.9100938
1573-1-1-002,Perception,7,1749493651.6857626,1749493665.2421186
1573-1-1-002,Perception,24,1749493673.2768698,1749493686.8332255
1573-1-1-002,Reproduction,24,1749493701.7088566,1749493715.2652123
1573-1-1-002,Reproduction,23,1749493750.2203038,1749493763.7766595
1573-1-1-002,Reproduction,26,1749493768.3488643,1749493781.9052205
1573-1-1-002,Reproduction,1,1749493786.061425,1749493799.617781
1573-1-1-002,Reproduction,15,1749493803.1109333,1749493816.6672893
1573-1-1-002,Reproduction,11,1749493820.2543626,1749493833.8107183
1573-1-1-002,Reproduction,25,1749493837.552263,1749493851.108619
1573-1-1-002,Reproduction,20,1749493855.3552067,1749493868.9115627
1573-1-1-002,Reproduction,12,1749493873.0439467,1749493886.6003027
1573-1-1-002,Reproduction,8,1749493891.3056097,1749493904.8619654
1573-1-1-002,Reproduction,18,1749493914.1174111,1749493927.673767
1573-1-1-002,Reproduction,7,1749493931.9043438,1749493945.4606998
1573-1-1-002,Reproduction,2,1749493949.5421374,1749493963.098493
1573-1-1-002,Reproduction,4,1749493966.8560812,1749493980.4124372
1573-1-1-002,Reproduction,5,1749493984.6594298,1749493998.2157855
1573-1-1-002,Reproduction,13,1749494007.315594,1749494020.87195
1573-1-1-002,Reproduction,10,1749494025.3208122,1749494038.8771682
1573-1-1-002,Reproduction,6,1749494043.503393,1749494057.059749
1573-1-1-002,Reproduction,16,1749494061.5297434,1749494075.0860994
1573-1-1-002,Reproduction,3,1749494079.5959122,1749494093.1522682
1573-1-1-002,Reproduction,14,1749494104.2302694,1749494117.7866254
1573-1-1-002,Reproduction,22,1749494122.932316,1749494136.488672
1573-1-1-002,Reproduction,17,1749494140.6830091,1749494154.239365
1573-1-1-002,Reproduction,21,1749494158.045568,1749494171.601924
1573-1-1-002,Reproduction,9,1749494180.1533377,1749494193.7096937
1573-1-1-002,Reproduction,19,1749494202.0793495,1749494215.6357057
1573-1-1-056,Perception,23,1749769977.7491243,1749769991.3054805
1573-1-1-056,Perception,17,1749770002.951155,1749770016.507511
1573-1-1-056,Perception,10,1749770024.9436038,1749770038.4999597
1573-1-1-056,Perception,9,1749770046.5037322,1749770060.0600882
1573-1-1-056,Perception,6,1749770077.4271214,1749770090.9834774
1573-1-1-056,Perception,16,1749770105.604249,1749770119.160605
1573-1-1-056,Perception,1,1749770126.0188332,1749770139.575189
1573-1-1-056,Perception,14,1749770148.3119917,1749770161.8683476
1573-1-1-056,Perception,2,1749770169.4139538,1749770182.9703095
1573-1-1-056,Perception,7,1749770188.5411563,1749770202.0975122
1573-1-1-056,Perception,15,1749770222.834795,1749770236.391151
1573-1-1-056,Perception,4,1749770238.504023,1749770252.060379
1573-1-1-056,Perception,11,1749770256.4334614,1749770269.9898174
1573-1-1-056,Perception,20,1749770281.9130964,1749770295.4694524
1573-1-1-056,Perception,26,1749770301.9778607,1749770315.5342166
1573-1-1-056,Perception,13,1749770376.383448,1749770389.939804
1573-1-1-056,Perception,22,1749770391.7373643,1749770405.2937205
1573-1-1-056,Perception,12,1749770411.2693148,1749770424.8256707
1573-1-1-056,Perception,18,1749770429.5232463,1749770443.0796022
1573-1-1-056,Perception,5,1749770448.7556932,1749770462.3120492
1573-1-1-056,Perception,21,1749770472.6690874,1749770486.2254434
1573-1-1-056,Perception,25,1749770499.320778,1749770512.877134
1573-1-1-056,Perception,3,1749770515.4344337,1749770528.9907897
1573-1-1-056,Perception,19,1749770538.5653758,1749770552.1217318
1573-1-1-056,Perception,24,1749770563.7337265,1749770577.2900825
1573-1-1-056,Perception,8,1749770580.2795842,1749770593.83594
1573-1-1-056,Reproduction,2,1749770635.0591505,1749770648.6155064
1573-1-1-056,Reproduction,4,1749770658.867478,1749770672.4238338
1573-1-1-056,Reproduction,15,1749770687.262731,1749770700.819087
1573-1-1-056,Reproduction,1,1749770708.1335626,1749770721.6899185
1573-1-1-056,Reproduction,3,1749770728.5422509,1749770742.0986068
1573-1-1-056,Reproduction,8,1749770757.407645,1749770770.964001
1573-1-1-056,Reproduction,24,1749770778.3952334,1749770791.951589
1573-1-1-056,Reproduction,22,1749770797.6673765,1749770811.2237325
1573-1-1-056,Reproduction,23,1749770816.7917416,1749770830.3480976
1573-1-1-056,Reproduction,16,1749770839.3910532,1749770852.9474092
1573-1-1-056,Reproduction,14,1749770883.909619,1749770897.4659753
1573-1-1-056,Reproduction,19,1749770908.0285418,1749770921.5848978
1573-1-1-056,Reproduction,13,1749770935.984795,1749770949.541151
1573-1-1-056,Reproduction,26,1749770968.4278176,1749770981.9841735
1573-1-1-056,Reproduction,17,1749771012.7893937,1749771026.3457496
1573-1-1-056,Reproduction,12,1749771045.5363536,1749771059.0927095
1573-1-1-056,Reproduction,20,1749771067.072451,1749771080.628807
1573-1-1-056,Reproduction,9,1749771093.9452152,1749771107.5015712
1573-1-1-056,Reproduction,11,1749771111.6198916,1749771125.1762476
1573-1-1-056,Reproduction,7,1749771134.1736486,1749771147.7300043
1573-1-1-056,Reproduction,21,1749771161.0224726,1749771174.5788286
1573-1-1-056,Reproduction,10,1749771182.2084186,1749771195.7647746
1573-1-1-056,Reproduction,18,1749771201.957405,1749771215.513761
1573-1-1-056,Reproduction,6,1749771230.6701448,1749771244.2265007
1573-1-1-056,Reproduction,25,1749771255.157637,1749771268.7139928
1573-1-1-056,Reproduction,5,1749771279.642241,1749771293.198597
1573-1-1-31,Perception,6,1749765923.1788027,1749765936.7351587
1573-1-1-31,Perception,15,1749765962.107095,1749765975.663451
1573-1-1-31,Perception,20,1749765989.480954,1749766003.03731
1573-1-1-31,Perception,10,1749766010.3519409,1749766023.9082968
1573-1-1-31,Perception,22,1749766033.7211933,1749766047.2775493
1573-1-1-31,Perception,13,1749766055.252691,1749766068.809047
1573-1-1-31,Perception,11,1749766073.6615162,1749766087.217872
1573-1-1-31,Perception,7,1749766096.3050957,1749766109.8614516
1573-1-1-31,Perception,1,1749766114.8479962,1749766128.4043522
1573-1-1-31,Perception,21,1749766136.760085,1749766150.316441
1573-1-1-31,Perception,2,1749766171.7499936,1749766185.3063495
1573-1-1-31,Perception,4,1749766190.3021283,1749766203.8584845
1573-1-1-31,Perception,8,1749766212.4494874,1749766226.0058434
1573-1-1-31,Perception,18,1749766233.8759646,1749766247.4323206
1573-1-1-31,Perception,17,1749766256.5650454,1749766270.1214013
1573-1-1-31,Perception,24,1749766293.9073403,1749766307.4636965
1573-1-1-31,Perception,26,1749766317.865762,1749766331.422118
1573-1-1-31,Perception,25,1749766342.0231612,1749766355.5795171
1573-1-1-31,Perception,14,1749766357.862349,1749766371.418705
1573-1-1-31,Perception,9,1749766377.0154135,1749766390.5717697
1573-1-1-31,Perception,12,1749766411.1894472,1749766424.745803
1573-1-1-31,Perception,5,1749766434.552431,1749766448.1087873
1573-1-1-31,Perception,19,1749766468.039843,1749766481.5961993
1573-1-1-31,Perception,3,1749766496.647832,1749766510.204188
1573-1-1-31,Perception,16,1749766522.303789,1749766535.8601449
1573-1-1-31,Perception,23,1749766538.1139798,1749766551.6703358
1573-1-1-31,Reproduction,4,1749766584.3784757,1749766597.9348316
1573-1-1-31,Reproduction,22,1749766606.7575994,1749766620.3139553
1573-1-1-31,Reproduction,21,1749766630.212535,1749766643.7688909
1573-1-1-31,Reproduction,9,1749766648.17624,1749766661.732596
1573-1-1-31,Reproduction,13,1749766671.5896237,1749766685.1459794
1573-1-1-31,Reproduction,3,1749766689.5294752,1749766703.0858312
1573-1-1-31,Reproduction,12,1749766707.688944,1749766721.2453
1573-1-1-31,Reproduction,1,1749766735.856006,1749766749.412362
1573-1-1-31,Reproduction,10,1749766757.9966817,1749766771.5530376
1573-1-1-31,Reproduction,8,1749766775.3353066,1749766788.8916626
1573-1-1-31,Reproduction,25,1749766810.4427836,1749766823.9991395
1573-1-1-31,Reproduction,16,1749766831.368719,1749766844.925075
