id_participant,task_type,sequence_number,complexity
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,16,4
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,24,3
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,10,2
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,2,1
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,18,5
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,7,1
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,1,1
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,21,1
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,23,1
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,11,1
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,19,1
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,9,1
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,18,2
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,25,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,16,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,23,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,4,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,22,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,19,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,26,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,14,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,12,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,8,4
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,2,2
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,7,2
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,21,2
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,1,2
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,3,2
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,9,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,10,3
34280b35254c7467894e71cde63490555f01807cf7d23363617b9bbac2a41c0c,Perception,17,2
