timestamp_unix,timestamp_iso,participant_full_id,body_position_left,body_position_right,missing_value_reason
1746838380000,2025-05-10T00:53:00Z,1974-1-1-08,,,device_not_worn_correctly
1746838440000,2025-05-10T00:54:00Z,1974-1-1-08,,,device_not_worn_correctly
1746838500000,2025-05-10T00:55:00Z,1974-1-1-08,,,device_not_worn_correctly
1746838560000,2025-05-10T00:56:00Z,1974-1-1-08,,,device_not_worn_correctly
1746838620000,2025-05-10T00:57:00Z,1974-1-1-08,,,device_not_worn_correctly
1746838680000,2025-05-10T00:58:00Z,1974-1-1-08,,,device_not_worn_correctly
1746838740000,2025-05-10T00:59:00Z,1974-1-1-08,,,device_not_worn_correctly
1746838800000,2025-05-10T01:00:00Z,1974-1-1-08,,,device_not_worn_correctly
1746838860000,2025-05-10T01:01:00Z,1974-1-1-08,,,device_not_worn_correctly
1746838920000,2025-05-10T01:02:00Z,1974-1-1-08,,,device_not_worn_correctly
1746838980000,2025-05-10T01:03:00Z,1974-1-1-08,,,device_not_worn_correctly
1746839040000,2025-05-10T01:04:00Z,1974-1-1-08,,,device_not_worn_correctly
1746839100000,2025-05-10T01:05:00Z,1974-1-1-08,,,device_not_worn_correctly
1746839160000,2025-05-10T01:06:00Z,1974-1-1-08,,,device_not_worn_correctly
1746839220000,2025-05-10T01:07:00Z,1974-1-1-08,,,device_not_worn_correctly
1746839280000,2025-05-10T01:08:00Z,1974-1-1-08,,,device_not_worn_correctly
1746839340000,2025-05-10T01:09:00Z,1974-1-1-08,,,device_not_worn_correctly
1746839400000,2025-05-10T01:10:00Z,1974-1-1-08,,,device_not_worn_correctly
1746839460000,2025-05-10T01:11:00Z,1974-1-1-08,,,device_not_worn_correctly
1746839520000,2025-05-10T01:12:00Z,1974-1-1-08,,,device_not_worn_correctly
1746839580000,2025-05-10T01:13:00Z,1974-1-1-08,,,device_not_worn_correctly
1746839640000,2025-05-10T01:14:00Z,1974-1-1-08,,,device_not_worn_correctly
1746839700000,2025-05-10T01:15:00Z,1974-1-1-08,,,device_not_worn_correctly
1746839760000,2025-05-10T01:16:00Z,1974-1-1-08,,,device_not_worn_correctly
1746839820000,2025-05-10T01:17:00Z,1974-1-1-08,,,device_not_worn_correctly
1746839880000,2025-05-10T01:18:00Z,1974-1-1-08,,,device_not_worn_correctly
1746839940000,2025-05-10T01:19:00Z,1974-1-1-08,,,device_not_worn_correctly
1746840000000,2025-05-10T01:20:00Z,1974-1-1-08,,,device_not_worn_correctly
1746840060000,2025-05-10T01:21:00Z,1974-1-1-08,,,device_not_worn_correctly
1746840120000,2025-05-10T01:22:00Z,1974-1-1-08,,,device_not_worn_correctly
1746840180000,2025-05-10T01:23:00Z,1974-1-1-08,,,device_not_worn_correctly
1746840240000,2025-05-10T01:24:00Z,1974-1-1-08,,,device_not_worn_correctly
1746840300000,2025-05-10T01:25:00Z,1974-1-1-08,,,device_not_worn_correctly
1746840360000,2025-05-10T01:26:00Z,1974-1-1-08,,,device_not_worn_correctly
1746840420000,2025-05-10T01:27:00Z,1974-1-1-08,,,device_not_worn_correctly
1746840480000,2025-05-10T01:28:00Z,1974-1-1-08,,,device_not_worn_correctly
1746840540000,2025-05-10T01:29:00Z,1974-1-1-08,,,device_not_worn_correctly
1746840600000,2025-05-10T01:30:00Z,1974-1-1-08,,,device_not_worn_correctly
1746840660000,2025-05-10T01:31:00Z,1974-1-1-08,,,device_not_worn_correctly
1746840720000,2025-05-10T01:32:00Z,1974-1-1-08,,,device_not_worn_correctly
1746840780000,2025-05-10T01:33:00Z,1974-1-1-08,,,device_not_worn_correctly
1746840840000,2025-05-10T01:34:00Z,1974-1-1-08,,,device_not_worn_correctly
1746840900000,2025-05-10T01:35:00Z,1974-1-1-08,,,device_not_worn_correctly
1746840960000,2025-05-10T01:36:00Z,1974-1-1-08,,,device_not_worn_correctly
1746841020000,2025-05-10T01:37:00Z,1974-1-1-08,,,device_not_worn_correctly
1746841080000,2025-05-10T01:38:00Z,1974-1-1-08,,,device_not_worn_correctly
1746841140000,2025-05-10T01:39:00Z,1974-1-1-08,,,device_not_worn_correctly
1746841200000,2025-05-10T01:40:00Z,1974-1-1-08,,,device_not_worn_correctly
1746841260000,2025-05-10T01:41:00Z,1974-1-1-08,,,device_not_worn_correctly
1746841320000,2025-05-10T01:42:00Z,1974-1-1-08,,,device_not_worn_correctly
